id,name,category,description,address,phone,open_time,main_image_url,kakao_id,kakao_url
121,미식일가,한식,,서울 광진구 광나루로19길 9,010-5603-9282,,,27229361,https://place.map.kakao.com/27229361
122,영미오리탕 군자점,한식,,서울 광진구 동일로60길 53,02-463-5222,,,8476706,https://place.map.kakao.com/8476706
123,카레당,한식,,서울 광진구 능동로 251,02-464-4022,,,1309119533,https://place.map.kakao.com/1309119533
124,마당족발,한식,,서울 광진구 능동로 173,02-468-3030,,,7866034,https://place.map.kakao.com/7866034
125,깍뚝,한식,,서울 광진구 능동로19길 36,0507-1441-0280,,,24944745,https://place.map.kakao.com/24944745
126,소사면옥,한식,,서울 광진구 능동로 270,02-447-0904,,,713564462,https://place.map.kakao.com/713564462
127,대명소곱창,한식,,서울 광진구 능동로 298,,,,14697504,https://place.map.kakao.com/14697504
128,능동아구찜,한식,,서울 광진구 천호대로 544,02-467-9350,,,8837342,https://place.map.kakao.com/8837342
129,기와집 능이백숙 본점,한식,,서울 광진구 면목로 32,02-2242-4145,,,23347049,https://place.map.kakao.com/23347049
130,섬진강풍천장어직판장,한식,,서울 광진구 동일로 190,02-469-6700,,,818553746,https://place.map.kakao.com/818553746
131,스위트앤카츠 화양직영점,일식,,서울 광진구 광나루로17길 14,02-467-0053,,,26602338,https://place.map.kakao.com/26602338
132,이이요,일식,,서울 광진구 능동로32길 6,02-3437-2225,,,861945610,https://place.map.kakao.com/861945610
133,호야초밥참치 본점,일식,,서울 광진구 능동로13길 39,02-461-3739,,,11989881,https://place.map.kakao.com/11989881
134,오코노미야키식당하나,일식,,서울 광진구 능동로13길 111,02-469-8884,,,1441425449,https://place.map.kakao.com/1441425449
135,스시오 건대점,일식,,서울 광진구 능동로 141,02-463-5955,,,18542711,https://place.map.kakao.com/18542711
136,고베규카츠 건대점,일식,,서울 광진구 아차산로33길 64,02-469-4620,,,129897442,https://place.map.kakao.com/129897442
137,마리모,일식,,서울 광진구 면목로 22-1,02-462-4186,,,1689661423,https://place.map.kakao.com/1689661423
138,가츠시 건대점,일식,,서울 광진구 광나루로 418,02-444-2355,,,1277643944,https://place.map.kakao.com/1277643944
139,우마이도 건대점,일식,,서울 광진구 능동로 135-2,02-467-8788,,,8029124,https://place.map.kakao.com/8029124
140,스시붐,일식,,서울 광진구 광나루로17길 14-5,02-466-6077,,,22213803,https://place.map.kakao.com/22213803
141,천미향,중식,,서울 광진구 능동로 237,02-464-8088,,,833758468,https://place.map.kakao.com/833758468
142,하이난,중식,,서울 광진구 능동로 243-1,02-466-0832,,,9554468,https://place.map.kakao.com/9554468
143,빠오즈푸,중식,,서울 광진구 광나루로 373,02-462-9256,,,15101449,https://place.map.kakao.com/15101449
144,미식반점,중식,,서울 광진구 군자로 70,02-466-2020,,,431685869,https://place.map.kakao.com/431685869
145,시옌 건대점,중식,,서울 광진구 능동로 137-8,02-498-2280,,,7971958,https://place.map.kakao.com/7971958
146,세종원 군자본점,중식,,서울 광진구 광나루로 373,02-499-1800,,,21328608,https://place.map.kakao.com/21328608
147,하오츠,중식,,서울 광진구 능동로 275,02-461-8887,,,21221373,https://place.map.kakao.com/21221373
148,춘선만두,중식,,서울 광진구 군자로 101,02-466-4398,,,88370014,https://place.map.kakao.com/88370014
149,하이디라오코리아 건대점,중식,,서울 광진구 능동로 110,02-456-5683,,,1026281815,https://place.map.kakao.com/1026281815
150,석기시대짜장마을,중식,,서울 광진구 군자로 111,02-467-7123,,,14078155,https://place.map.kakao.com/14078155
151,래빗홀버거,양식,,서울 광진구 광나루로 424,02-446-0424,,,1624333045,https://place.map.kakao.com/1624333045
152,오다 브네,양식,,서울 광진구 군자로 70,02-462-5794,,,807472188,https://place.map.kakao.com/807472188
153,알고,양식,,서울 광진구 광나루로17길 10,02-3409-2645,,,1697843723,https://place.map.kakao.com/1697843723
154,멕시칼리,양식,,서울 광진구 천호대로 634,070-7623-1707,,,1130537615,https://place.map.kakao.com/1130537615
155,로니로티 건대점,양식,,서울 광진구 아차산로 225,02-498-7999,,,21929635,https://place.map.kakao.com/21929635
156,감성타코 건대점,양식,,서울 광진구 능동로13길 39,02-462-8883,,,1104977189,https://place.map.kakao.com/1104977189
157,호파스타 건대본점,양식,,서울 광진구 군자로3길 23,0507-1486-1008,,,1137599191,https://place.map.kakao.com/1137599191
158,오스테리아현,양식,,서울 광진구 능동로 237,02-6949-3346,,,789445511,https://place.map.kakao.com/789445511
159,빅베어8,양식,,서울 광진구 능동로 209,02-462-8802,,,1318816646,https://place.map.kakao.com/1318816646
160,마초쉐프 건대점,양식,,서울 광진구 능동로 125,02-497-8886,,,1359276887,https://place.map.kakao.com/1359276887
