name,category,description,address,phone,open_time,main_image_url
연필,카페,"연필 緣苾\n인연 연, 향기로울 필\n\n인연이 피어 향기로운 공간입니다.\n다양한 맛있는 디저트와 깊은 향의 커피",서울 광진구 면목로 12 1층 102호 서울 광진구 군자동 49-17,0502-5552-2000,11:00~20:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230212_231%2F1676154913718sctjy_JPEG%2FScreenshot_20230212_073124_Instagram.jpg
보난자커피 군자점,카페,넓은 공간에서 즐기는 맛있는 커피 디저트,서울특별시 광진구 능동로 239-1 B동 1층 보난자커피 지번서울특별시 광진구 군자동 270,070-4110-3113,09:00 ~ 12:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220518_58%2F1652861247773Dike6_JPEG%2F_MG_4177.JPG
온더,카페,맛있는 베이커리와 디저트의 세계,서울 성동구 광나루로 315 1층 서울 성동구 송정동 66-259,0507-1399-5009,11:30~18:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240405_126%2F17123094874606EjQc_JPEG%2FIMG_8625.jpeg
책방고즈넉,카페,책방고즈넉은 카페이자 공간입니다.\n아늑한 분위기와 아름다운 인테리어의 조화,서울 광진구 동일로60길 41-13 서울 광진구 군자동 467-15,0507-1421-2087,11:00 ~ 22:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241113_86%2F1731489482725x3Hw8_JPEG%2F%25B0%25ED%25C1%25EE%25B3%25CB%25C0%25FC%25B0%25E6.jpeg
하츠커피,카페,"HEARTS COFFEE & BAR\n낮과 밤, 언제든지 편하게 즐길 수 있는 사랑방\n커피와 술 그리고 음악.",서울 성동구 광나루로11길 7 서울 성동구 송정동 66-51,,12:00 ~ 20:00(월 휴무),https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250325_121%2F1742892962313WVNBM_JPEG%2FIMG_0139.jpeg
카페롱,카페,넓고 쾌적한 매장에서 맛있는 음료를 즐기는 시간,서울 광진구 광나루로 360 1층 카페롱 서울 광진구 화양동 18-5,,09:00 ~ 02:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191120_194%2F1574228086493aJ16d_JPEG%2FRRM9l79u3inXAQafc4iRvV_N.jpg
엠케이갤러리스튜디오,카페,낮 밤 관계없이 주류 및 카페 메뉴 이용이 가능하며 편안한 저마다의 작업공간으로 조도가 어두워지는 밤 감각적으로 흔들리는 그림자들에 참여하세요.,서울 광진구 군자로 41 2층 서울 광진구 화양동 17-17,010-7482-7277,12:00~01:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250307_84%2F1741320804176lGpFg_JPEG%2FKakaoTalk_20250224_135623973_01.jpg
로프커피,카페,[생활의달인979회]라떼아트의 달인 카페\n한국 라떼아트 챔피언이 직접 로스팅하고 매장을 운영하고 있습니다^^!!,서울 광진구 동일로 304 1층 로프커피 [생활의달인 방송Cafe] 서울 광진구 군자동 464-2,010-8662-5891,08:30 ~ 19:00,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTA0MjBfMjQ5%2FMDAxNzQ1MTU5MjczNTE0.m6YDe-Ked8-pBZ-Qlx7jzcp41DdawJ70o8NHs-nqm5og.FvSHz1sKDh7R5FFTqATYJtCt8xUjZUoVxkqNhS39LPog.JPEG%2F%253F%259D%25BC%253F%2596%25BC%253F%2595%2584%253F%258A%25B8_1.jpg
브렛서울,카페,어린이대공원역3번 출구에 위치한 카페입니다.\n저희 카페는 수제 디저트들과 맛있는 음료들이 준비되어있으며 주차는 2시간 가능합니다!,서울 광진구 광나루로 410 1층 101호 서울 광진구 화양동 527,0507-1355-4874,10:00 ~ 20:00,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA1MzBfMTMg%2FMDAxNzE3MDQ4MzcxOTUz.ZM2XB-RDYJT9Vye0cUEwNxX7jy5VHcdaQT9A39t-9Agg.JeoX-X67AQHBtz2mMAxVbfMyGXlqdVh69VIVx4_V2QQg.JPEG%2FScreenshot_2024-05-30_at_14.52.47.JPG
애드앤드,카페,베이커리로 착한평을 많이 받은 카페입니다,서울 광진구 광나루로26길 28 1층 서울 광진구 화양동 474-1,0507-1327-0718,11:00 ~ 21:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNTAxMjFfMTUy%2FMDAxNzM3NDM3NzAwOTA1.77redWNfvc9M_rjxpdcJRtnaGfW9kE17WhSyXR_7WPAg.x6BSJk85srsZqHg0YLAbz5hmIEBHh9a0idiNpS8wZ3Ig.JPEG%2F1000040044.jpg.jpg%3Ftype%3Dw1500_60_sharpen
